Temperature, Rainfall, Humidity, Made-up
25.00,76.00,99.00,92.20
39.00,65.00,70.00,77.10
59.00,45.00,77.00,83.30
84.00,63.00,38.00,75.30
66.00,50.00,52.00,72.60
41.00,94.00,77.00,90.80
91.00,57.00,96.00,111.10
49.00,96.00,99.00,107.80
67.00,20.00,28.00,49.60
85.00,31.00,95.00,100.30
78.00,46.00,34.00,65.40
31.00,40.00,63.00,62.20
52.00,77.00,85.00,94.90
28.00,66.00,77.00,77.20
32.00,50.00,57.00,62.00
31.00,79.00,53.00,67.90
45.00,76.00,48.00,69.60
80.00,52.00,27.00,63.80
24.00,45.00,90.00,77.10
20.00,89.00,84.00,85.10
32.00,20.00,96.00,76.40
56.00,44.00,74.00,80.00
93.00,70.00,80.00,106.20
62.00,87.00,73.00,94.70
85.00,48.00,90.00,102.40
87.00,86.00,93.00,116.40
43.00,57.00,69.00,75.70
28.00,71.00,44.00,58.90
44.00,95.00,58.00,80.90
88.00,48.00,46.00,77.20
80.00,50.00,38.00,69.80
27.00,75.00,89.00,86.70
93.00,61.00,73.00,99.30
31.00,87.00,62.00,75.70
38.00,94.00,44.00,69.80
55.00,93.00,55.00,82.90
56.00,22.00,47.00,57.20
38.00,64.00,79.00,81.80
26.00,22.00,40.00,41.00
27.00,98.00,24.00,54.60
55.00,37.00,38.00,55.90
63.00,69.00,46.00,73.50
21.00,34.00,21.00,31.20
31.00,89.00,85.00,90.10
45.00,69.00,91.00,93.30
48.00,86.00,77.00,91.20
27.00,51.00,27.00,42.30
40.00,47.00,88.00,82.90
29.00,45.00,69.00,66.50
35.00,55.00,85.00,81.50
62.00,43.00,58.00,72.50
67.00,95.00,54.00,87.70
35.00,46.00,55.00,60.80
36.00,75.00,28.00,53.70
97.00,62.00,87.00,109.60
29.00,52.00,25.00,42.20
31.00,26.00,72.00,63.40
94.00,100.00,59.00,103.00
47.00,52.00,76.00,80.00
46.00,52.00,70.00,76.00
40.00,68.00,72.00,79.60
35.00,27.00,84.00,72.50
69.00,96.00,29.00,73.80
69.00,57.00,52.00,75.90
33.00,45.00,71.00,69.30
88.00,95.00,82.00,112.90
48.00,90.00,69.00,87.60
55.00,78.00,66.00,85.00
28.00,44.00,67.00,64.60
34.00,58.00,27.00,47.20
62.00,46.00,89.00,92.00
92.00,78.00,89.00,113.60
20.00,69.00,70.00,70.70
88.00,49.00,65.00,88.90
56.00,83.00,36.00,68.90
51.00,67.00,54.00,72.90
47.00,50.00,71.00,76.40
32.00,94.00,71.00,83.60
33.00,21.00,96.00,77.10
100.00,81.00,69.00,105.70
31.00,58.00,22.00,43.00
74.00,96.00,33.00,78.20
79.00,98.00,99.00,120.40
49.00,76.00,38.00,65.20
78.00,51.00,79.00,93.90
28.00,51.00,62.00,63.70
43.00,49.00,55.00,64.90
73.00,62.00,50.00,77.80
41.00,59.00,78.00,80.90
44.00,31.00,52.00,58.10
29.00,97.00,29.00,58.10
38.00,75.00,60.00,73.70
68.00,60.00,29.00,62.60
46.00,71.00,37.00,61.90
44.00,39.00,49.00,58.70
25.00,78.00,31.00,52.00
52.00,84.00,47.00,74.20
20.00,98.00,71.00,80.00
99.00,47.00,67.00,93.90
68.00,83.00,94.00,108.50
38.00,90.00,20.00,54.20
99.00,67.00,43.00,85.50
53.00,71.00,39.00,65.90
85.00,30.00,49.00,72.40
90.00,20.00,43.00,67.80
62.00,67.00,38.00,67.70
81.00,81.00,78.00,103.50
23.00,69.00,65.00,68.90
86.00,66.00,22.00,67.40
58.00,89.00,76.00,95.50
28.00,51.00,88.00,79.30
98.00,33.00,76.00,94.70
41.00,22.00,84.00,73.40
52.00,69.00,60.00,77.50
46.00,68.00,38.00,61.60
87.00,35.00,54.00,77.70
37.00,76.00,74.00,82.00
86.00,80.00,40.00,82.40
57.00,86.00,45.00,75.60
31.00,94.00,87.00,92.80
45.00,31.00,46.00,54.90
26.00,20.00,31.00,35.00
56.00,36.00,68.00,74.00
96.00,96.00,48.00,96.00
35.00,57.00,23.00,44.90
51.00,28.00,78.00,75.60
44.00,40.00,78.00,76.40
69.00,44.00,78.00,87.60
52.00,29.00,84.00,79.90
49.00,91.00,85.00,97.90
44.00,45.00,51.00,61.70
92.00,48.00,78.00,98.00
37.00,30.00,42.00,49.00
62.00,34.00,59.00,70.40
66.00,71.00,61.00,84.30
100.00,77.00,20.00,75.10
95.00,30.00,25.00,62.00
86.00,45.00,100.00,107.90
70.00,60.00,99.00,105.40
37.00,36.00,55.00,58.60
50.00,33.00,26.00,45.50
33.00,40.00,64.00,63.60
86.00,98.00,25.00,78.80
57.00,75.00,21.00,57.90
53.00,24.00,73.00,72.20
34.00,78.00,23.00,50.80
55.00,45.00,42.00,60.70
89.00,84.00,82.00,110.00
68.00,47.00,84.00,91.70
48.00,87.00,38.00,68.10
45.00,67.00,67.00,78.30
44.00,29.00,77.00,72.50
79.00,72.00,58.00,88.00
31.00,70.00,96.00,91.00
31.00,73.00,49.00,63.70
92.00,56.00,85.00,104.60
69.00,60.00,85.00,96.60
66.00,26.00,35.00,55.20
94.00,81.00,79.00,109.30
29.00,71.00,65.00,71.90
23.00,97.00,21.00,50.90
74.00,64.00,85.00,99.80
39.00,86.00,76.00,87.00
22.00,83.00,52.00,64.90
32.00,21.00,59.00,54.50
37.00,87.00,61.00,77.50
29.00,85.00,64.00,75.50
94.00,72.00,48.00,88.00
85.00,83.00,73.00,102.70
48.00,65.00,25.00,53.70
50.00,91.00,77.00,93.50
23.00,36.00,40.00,44.00
46.00,72.00,51.00,70.60
90.00,68.00,95.00,113.40
47.00,58.00,32.00,55.40
80.00,85.00,85.00,108.50
73.00,76.00,36.00,73.60
26.00,89.00,95.00,94.10
84.00,27.00,37.00,63.90
55.00,37.00,57.00,67.30
41.00,97.00,59.00,80.90
30.00,21.00,41.00,42.90
24.00,62.00,32.00,47.40
73.00,58.00,73.00,90.40
57.00,82.00,67.00,87.60
66.00,30.00,60.00,71.40
36.00,87.00,41.00,65.10
96.00,25.00,86.00,97.50
45.00,89.00,20.00,56.70
46.00,72.00,64.00,78.40
77.00,77.00,75.00,98.90
29.00,65.00,62.00,68.30
80.00,44.00,90.00,99.20
43.00,25.00,94.00,81.10
55.00,86.00,76.00,93.40
45.00,53.00,77.00,80.10
35.00,85.00,38.00,62.30
63.00,38.00,22.00,49.80
36.00,87.00,59.00,75.90
92.00,22.00,32.00,62.60
100.00,58.00,90.00,111.40
31.00,98.00,78.00,88.60
86.00,21.00,82.00,89.90
35.00,56.00,60.00,66.80
63.00,37.00,81.00,84.90
45.00,89.00,80.00,92.70
43.00,59.00,61.00,71.50
40.00,47.00,54.00,62.50
83.00,35.00,68.00,84.50
89.00,75.00,55.00,91.10
80.00,52.00,91.00,102.20
100.00,34.00,60.00,86.20
84.00,61.00,31.00,70.50
72.00,46.00,45.00,69.60
95.00,29.00,77.00,92.90
81.00,36.00,28.00,60.00
55.00,65.00,29.00,58.90
60.00,35.00,40.00,58.50
48.00,76.00,85.00,93.00
82.00,91.00,95.00,117.10
48.00,24.00,45.00,53.40
98.00,42.00,28.00,68.60
76.00,81.00,31.00,73.30
93.00,91.00,88.00,117.30
84.00,48.00,57.00,82.20
73.00,48.00,64.00,82.00
55.00,37.00,46.00,60.70
74.00,92.00,90.00,111.20
23.00,44.00,90.00,76.40
52.00,86.00,41.00,71.20
76.00,79.00,25.00,69.10
51.00,22.00,86.00,78.60
25.00,77.00,78.00,79.90
94.00,65.00,74.00,101.50
39.00,32.00,29.00,42.60
87.00,86.00,100.00,120.60
51.00,70.00,29.00,58.80
40.00,40.00,75.00,73.00
37.00,55.00,69.00,72.70
57.00,28.00,25.00,46.20
65.00,63.00,51.00,75.50
42.00,77.00,71.00,82.50
64.00,83.00,72.00,93.70
61.00,80.00,36.00,70.00
98.00,89.00,50.00,95.90
66.00,86.00,77.00,98.40
35.00,76.00,96.00,94.40
30.00,57.00,38.00,51.90
38.00,97.00,98.00,103.10
100.00,73.00,22.00,75.10
20.00,97.00,79.00,84.50
51.00,66.00,100.00,100.20
33.00,62.00,31.00,50.40
58.00,41.00,37.00,57.70
35.00,95.00,25.00,57.50
77.00,34.00,64.00,79.40
49.00,48.00,86.00,85.60
